time,date,hour,temperature_f,humidity_percent,precipitation_in,wind_mph,weather
2026-08-14T04:00:00Z,2026-08-14,0,85.3,74,0,6.4,Cloudy
2026-08-14T05:00:00Z,2026-08-14,1,83.8,80,0,5.8,Cloudy
2026-08-14T06:00:00Z,2026-08-14,2,83.1,86,0,5.7,Cloudy
2026-08-14T07:00:00Z,2026-08-14,3,82.6,88,0,3.6,Cloudy
2026-08-14T08:00:00Z,2026-08-14,4,82.1,90,0,3.6,Cloudy
2026-08-14T09:00:00Z,2026-08-14,5,81.5,93,0,3.8,Clear
2026-08-14T10:00:00Z,2026-08-14,6,80.8,96,0,4.5,Clear
2026-08-14T11:00:00Z,2026-08-14,7,80.1,96,0,5.5,Cloudy
2026-08-14T12:00:00Z,2026-08-14,8,81.1,90,0,5.6,Clear
2026-08-14T13:00:00Z,2026-08-14,9,83.8,84,0,4.4,Clear
2026-08-14T14:00:00Z,2026-08-14,10,86.3,73,0,4.8,Cloudy
2026-08-14T15:00:00Z,2026-08-14,11,87.4,70,0.004,4.1,Drizzle
2026-08-14T16:00:00Z,2026-08-14,12,86.2,71,0.047,7.2,Drizzle
2026-08-14T17:00:00Z,2026-08-14,13,86.2,72,0.102,11.3,Rain
2026-08-14T18:00:00Z,2026-08-14,14,88.4,65,0.059,6.2,Rain
2026-08-14T19:00:00Z,2026-08-14,15,87.5,65,0.083,0.9,Rain
2026-08-14T20:00:00Z,2026-08-14,16,85.3,69,0.028,3.5,Drizzle
2026-08-14T21:00:00Z,2026-08-14,17,86,70,0.016,2.1,Drizzle
2026-08-14T22:00:00Z,2026-08-14,18,86.7,71,0,2.8,Cloudy
2026-08-14T23:00:00Z,2026-08-14,19,87.1,71,0,3.9,Clear
2026-08-15T00:00:00Z,2026-08-14,20,82.6,86,0,7.6,Cloudy
2026-08-15T01:00:00Z,2026-08-14,21,81.5,89,0,7.1,Cloudy
2026-08-15T02:00:00Z,2026-08-14,22,81,89,0,6.1,Cloudy
2026-08-15T03:00:00Z,2026-08-14,23,80.8,91,0,5.1,Clear
2026-08-15T04:00:00Z,2026-08-15,0,80.4,92,0,4.7,Cloudy
2026-08-15T05:00:00Z,2026-08-15,1,80,94,0,5.1,Clear
2026-08-15T06:00:00Z,2026-08-15,2,80.2,92,0,6.5,Clear
2026-08-15T07:00:00Z,2026-08-15,3,80,87,0,7.3,Clear
2026-08-15T08:00:00Z,2026-08-15,4,79.7,87,0,6.9,Cloudy
2026-08-15T09:00:00Z,2026-08-15,5,79.6,87,0,8.1,Cloudy
2026-08-15T10:00:00Z,2026-08-15,6,79.4,87,0,6.6,Cloudy
